,subject,trial_num,letter,frequency,r,g,b,PBASE,ITI,match,button,correct,RT,block,pupil_feed_locked_t1,pupil_baseline_feed_locked,missing,drop_trial
197,146,197,T,20,76,154,68,5.1399999999999997,4.0899999999999999,0,lalt,True,1.1269306400000001,4.0000000000000000,-6.5571507163452187,-11.6547511518696503,False,False
198,146,198,D,40,138,154,91,4.5899999999999999,3.9800000000000000,1,ralt,True,0.7789464600000000,4.0000000000000000,-3.4090583799646721,-3.1907333403430256,False,False
199,146,199,I,80,157,193,131,4.1699999999999999,3.7300000000000000,1,ralt,True,0.4269663100000000,4.0000000000000000,-4.2954957845645705,22.8005229584952041,False,False
200,146,200,T,20,3,121,112,5.1200000000000001,4.7900000000000000,1,ralt,True,2.0290595100000002,4.0000000000000000,-5.5875691911911876,44.7966767583089762,False,False
201,146,201,R,80,157,193,131,4.9600000000000000,4.0400000000000000,0,lalt,True,0.6570191000000000,4.0000000000000000,-3.0432618832490661,15.1123148258067257,False,False
202,146,202,D,40,75,124,89,4.8200000000000003,5.3700000000000001,0,lalt,True,0.5670691500000000,4.0000000000000000,-11.3607316904287501,-28.5788791144767806,False,False
203,146,203,A,20,76,154,68,3.6299999999999999,3.6099999999999999,1,ralt,True,0.4070364300000000,4.0000000000000000,14.4063067990677407,-1.9822137286666863,False,False
204,146,204,R,80,75,124,89,3.8399999999999999,4.0700000000000003,1,ralt,True,0.5602298999999999,4.0000000000000000,-0.8452144429826544,15.1181378157666622,False,False
205,146,205,O,40,157,193,131,4.8200000000000003,4.8700000000000001,0,lalt,True,0.7963648500000000,4.0000000000000000,-1.9166247981823721,-5.1019189076940892,False,False
206,146,206,R,80,75,124,89,5.4400000000000004,4.4100000000000001,1,ralt,True,0.4993383500000000,4.0000000000000000,7.1509898502139526,-5.1318458889233964,False,False
207,146,207,R,80,75,124,89,5.4299999999999997,4.6799999999999997,1,ralt,True,0.5673130000000000,4.0000000000000000,1.2549827857457878,0.8767319906429200,False,False
208,146,208,A,20,76,154,68,5.3099999999999996,5.2199999999999998,1,ralt,True,0.5062688700000000,4.0000000000000000,-10.1437091149095977,-12.1169205437361960,False,False
209,146,209,R,80,75,124,89,3.6899999999999999,4.7500000000000000,1,ralt,True,0.4941955300000000,4.0000000000000000,-3.5266658269914690,-13.6249815994061176,False,False
210,146,210,T,20,3,121,112,4.7599999999999998,4.0400000000000000,1,missing,False,,4.0000000000000000,1.9215802012575849,5.2103192030105170,True,True
211,146,211,A,20,157,193,131,3.7300000000000000,3.5200000000000000,0,lalt,True,0.4862102700000000,4.0000000000000000,-2.2743357428135478,2.7578271292561984,False,False
212,146,212,A,20,3,121,112,4.9400000000000004,5.3499999999999996,0,lalt,True,0.4234247700000000,4.0000000000000000,2.3535667230961361,-7.6708336405417379,False,False
213,146,213,A,20,0,168,107,5.2999999999999998,3.7700000000000000,0,lalt,True,0.6173454900000001,4.0000000000000000,1.5992084372994693,5.4877910948034403,False,False
214,146,214,A,20,138,154,91,4.8600000000000003,5.4600000000000000,0,lalt,True,0.8322333600000000,4.0000000000000000,7.8497163178160418,-26.3488025346095753,False,False
215,146,215,R,80,75,124,89,3.9700000000000002,4.6299999999999999,1,ralt,True,0.4963111400000000,4.0000000000000000,-5.2244206688529724,28.9842535619589192,False,False
216,146,216,O,40,3,121,112,3.7200000000000002,3.6299999999999999,0,lalt,True,1.2792632700000000,4.0000000000000000,2.9121998361776869,13.6926537674104019,False,False
217,146,217,T,20,76,154,68,3.9100000000000001,3.6200000000000001,0,lalt,True,0.6525115700000000,4.0000000000000000,3.7801210131359824,-25.2389739503115322,False,False
218,146,218,A,20,0,168,107,4.4500000000000002,4.5700000000000003,0,lalt,True,0.6236706700000000,4.0000000000000000,6.6911651423439640,-27.5113855624029711,False,False
219,146,219,A,20,0,168,107,4.2699999999999996,3.9100000000000001,0,lalt,True,0.9206719200000000,4.0000000000000000,2.2347130952411409,-7.4085952198064335,False,False
220,146,220,R,80,75,124,89,3.6200000000000001,3.7900000000000000,1,ralt,True,0.4768132100000000,4.0000000000000000,1.4201805211273968,2.3892357343253270,False,False
221,146,221,O,40,76,154,68,5.0499999999999998,4.3899999999999997,0,lalt,True,0.6440008699999999,4.0000000000000000,0.0413270274373068,13.6254744620057924,False,False
222,146,222,T,20,157,193,131,4.9100000000000001,4.5199999999999996,0,lalt,True,0.6629170500000000,4.0000000000000000,-5.6974356730346729,-5.3015792768814753,False,False
223,146,223,T,20,3,121,112,3.7900000000000000,4.6399999999999997,1,ralt,True,0.6219983800000000,4.0000000000000000,-11.3518677439514715,-6.7674216955640709,False,False
224,146,224,I,80,3,121,112,4.1799999999999997,5.4000000000000004,0,lalt,True,0.6500702700000000,4.0000000000000000,-3.9956104445213536,14.8791246555123493,False,False
225,146,225,R,80,0,168,107,4.1699999999999999,4.7999999999999998,0,lalt,True,0.8310668100000000,4.0000000000000000,8.4265907070756967,-4.0070322629614559,False,False
226,146,226,R,80,75,124,89,5.2000000000000002,5.0599999999999996,1,ralt,True,0.4981587600000000,4.0000000000000000,8.1833789120081022,9.0231474690641598,False,False
227,146,227,A,20,76,154,68,4.1600000000000001,4.4600000000000000,1,ralt,True,0.7820363700000000,4.0000000000000000,5.6768343914940322,17.2964545883954912,False,False
228,146,228,R,80,75,124,89,3.7599999999999998,5.4600000000000000,1,ralt,True,0.3941416600000000,4.0000000000000000,-15.0019027549437158,-0.0066016414844053,False,False
229,146,229,I,80,157,193,131,4.7500000000000000,3.6800000000000002,1,ralt,True,0.5151590800000000,4.0000000000000000,10.6480211515581047,-20.9953005160810768,False,False
230,146,230,D,40,138,154,91,5.4900000000000002,3.7000000000000002,1,ralt,True,0.5122766800000000,4.0000000000000000,-6.0085879967149207,-0.0467619641255206,False,False
231,146,231,A,20,76,154,68,4.5000000000000000,4.7900000000000000,1,ralt,True,0.8862543200000000,4.0000000000000000,8.1043654279506576,6.7532387521610096,False,False
232,146,232,D,40,3,121,112,4.8600000000000003,3.9700000000000002,0,lalt,True,0.5413029000000000,4.0000000000000000,-8.2754048906108597,0.9047687272923318,False,False
233,146,233,R,80,75,124,89,4.3899999999999997,3.8199999999999998,1,ralt,True,0.5283712300000000,4.0000000000000000,-2.0302614185953871,12.3908258419627781,False,False
234,146,234,D,40,138,154,91,4.0999999999999996,5.5000000000000000,1,ralt,True,0.4624913800000000,4.0000000000000000,3.0904111610876011,-2.6022545985812040,False,False
235,146,235,T,20,3,121,112,3.6800000000000002,3.7500000000000000,1,ralt,True,0.8424610200000000,4.0000000000000000,-11.1600572234258788,-6.8596026900007994,False,False
236,146,236,O,40,0,168,107,4.1799999999999997,3.6200000000000001,1,ralt,True,0.4776474100000000,4.0000000000000000,3.2876814283310143,26.1173186030007045,False,False
237,146,237,O,40,76,154,68,5.2800000000000002,4.5400000000000000,0,lalt,True,0.4947975400000000,4.0000000000000000,12.0964199878763008,-15.3170112990548350,False,False
238,146,238,I,80,138,154,91,4.3700000000000001,3.8500000000000001,0,lalt,True,1.2197108299999999,4.0000000000000000,1.1114135806994412,1.5347965136932995,False,False
239,146,239,O,40,0,168,107,4.3799999999999999,4.2500000000000000,1,ralt,True,0.6158277200000000,4.0000000000000000,-0.1990592125332956,-20.5349805409850497,False,False
0,147,0,O,80,157,193,131,4.2500000000000000,4.7999999999999998,1,ralt,False,0.8801438600000000,1.0000000000000000,21.3742389488738631,26.3946685161759547,False,False
1,147,1,O,80,157,193,131,4.6900000000000004,3.8300000000000001,1,lalt,True,1.0611434500000001,1.0000000000000000,-6.3658241786139564,-11.3863537425278523,False,False
2,147,2,T,20,76,154,68,5.1500000000000004,4.2400000000000002,1,ralt,False,1.0841787700000001,1.0000000000000000,4.5769363016633342,-11.5287391118151703,False,False
3,147,3,R,40,0,168,107,4.2199999999999998,4.8799999999999999,1,ralt,False,1.2271312700000001,1.0000000000000000,10.6263446275390177,-6.7284275972843437,False,False
4,147,4,D,20,3,121,112,3.6899999999999999,4.9199999999999999,1,ralt,False,1.4960964200000000,1.0000000000000000,2.3083925802025127,-4.2434163953239228,False,False
5,147,5,T,20,76,154,68,5.1100000000000003,4.1699999999999999,1,lalt,True,1.1711195400000001,1.0000000000000000,-2.9515279424145358,8.0786819503225864,False,False
6,147,6,R,40,0,168,107,4.8200000000000003,5.3600000000000003,1,ralt,False,0.9561012800000001,1.0000000000000000,1.6835209537615656,12.8815468368976038,False,False
7,147,7,O,80,157,193,131,5.3700000000000001,4.8600000000000003,1,lalt,True,0.5770529500000000,1.0000000000000000,7.7874424606404036,5.4699800605940032,False,False
8,147,8,R,40,76,154,68,3.8700000000000001,3.7300000000000000,0,lalt,False,0.8179606400000000,1.0000000000000000,4.0103744976792965,-3.8354159854401888,False,False
9,147,9,D,20,3,121,112,4.4699999999999998,3.9399999999999999,1,lalt,True,1.3610698200000000,1.0000000000000000,0.6268100178142891,3.3268611715232241,False,False
10,147,10,O,80,157,193,131,4.9199999999999999,3.5299999999999998,1,lalt,True,0.6881390000000001,1.0000000000000000,-3.9482622314749758,-0.3309006945152151,False,False
11,147,11,T,20,3,121,112,4.5800000000000001,4.5899999999999999,0,lalt,False,0.8241981600000000,1.0000000000000000,2.0464634374393240,-4.4953427281102805,False,False
12,147,12,O,80,157,193,131,3.7799999999999998,4.7400000000000002,1,ralt,False,1.5081544899999999,1.0000000000000000,-4.5967448976243226,-2.3292773675955734,False,False
13,147,13,O,80,157,193,131,3.5299999999999998,4.9100000000000001,1,lalt,True,0.5131616500000000,1.0000000000000000,6.5919993992045276,2.5693939541571300,False,False
14,147,14,A,80,0,168,107,4.1399999999999997,4.3300000000000001,0,ralt,True,1.0932751100000000,1.0000000000000000,4.0273695314230045,-0.5899282305483892,False,False
15,147,15,I,40,3,121,112,3.6000000000000001,4.0400000000000000,0,missing,False,,1.0000000000000000,4.4910569587008888,23.9814904369054389,True,True
16,147,16,O,80,157,193,131,3.8599999999999999,5.1600000000000001,1,lalt,True,0.4953720700000000,1.0000000000000000,9.3438808911603743,-18.8467835290112262,False,False
17,147,17,I,40,138,154,91,3.5200000000000000,4.2300000000000004,1,lalt,True,1.0313457300000000,1.0000000000000000,7.6626833651921169,-13.9171957175216399,False,False
18,147,18,I,40,76,154,68,5.4000000000000004,4.6399999999999997,0,ralt,True,0.4805201000000000,1.0000000000000000,-0.4178505334692153,-9.1880059364078246,False,False
19,147,19,T,20,138,154,91,4.4800000000000004,5.1299999999999999,0,lalt,False,1.6293963499999999,1.0000000000000000,-4.4848390075665048,8.0389819311922643,False,False
20,147,20,R,40,3,121,112,4.0599999999999996,4.8899999999999997,0,lalt,False,1.0253287600000001,1.0000000000000000,3.5011841960015047,-4.4289073501781928,False,False
21,147,21,R,40,0,168,107,3.5299999999999998,4.6299999999999999,1,ralt,False,2.4811562199999999,1.0000000000000000,9.4187625676774474,-7.7707798952275438,False,False
22,147,22,O,80,138,154,91,4.0599999999999996,4.3899999999999997,0,lalt,False,1.8012296900000000,1.0000000000000000,11.5522914023508516,-23.3989345287436912,False,False
23,147,23,T,20,76,154,68,4.9100000000000001,3.7200000000000002,1,ralt,False,2.1631986300000001,1.0000000000000000,9.9947541605940238,8.1981062046816806,False,False
24,147,24,A,80,75,124,89,4.1699999999999999,3.5600000000000001,1,lalt,True,2.2291214799999999,1.0000000000000000,-4.1845162905119322,1.6513968309150977,False,False
25,147,25,I,40,0,168,107,5.4299999999999997,4.9800000000000004,0,lalt,False,2.0971523400000001,1.0000000000000000,-1.5323626834247841,-0.4059982782831288,False,False
26,147,26,O,80,157,193,131,5.3399999999999999,4.6699999999999999,1,lalt,True,0.4350769800000000,1.0000000000000000,-3.4946207098335966,-5.3446667899032416,False,False
27,147,27,R,40,138,154,91,4.8799999999999999,4.3099999999999996,0,lalt,False,1.5789455100000001,1.0000000000000000,2.5942899706962921,4.1867854670337401,False,False
28,147,28,O,80,76,154,68,3.7100000000000000,5.0899999999999999,0,ralt,True,0.5830205400000000,1.0000000000000000,5.6614538723390124,-2.9585115150656538,False,False
29,147,29,I,40,157,193,131,4.9000000000000004,4.3899999999999997,0,ralt,True,1.3628836000000002,1.0000000000000000,6.2659772904274877,-8.8613975633253830,False,False
30,147,30,I,40,138,154,91,4.6399999999999997,3.9100000000000001,1,lalt,True,1.5988992500000001,1.0000000000000000,6.3708300317766575,-5.4868594102757999,False,False
31,147,31,A,80,3,121,112,4.3300000000000001,4.1799999999999997,0,lalt,False,0.6079686800000000,1.0000000000000000,6.9787094679669268,-5.1416228982412164,False,False
32,147,32,A,80,76,154,68,4.2500000000000000,4.4100000000000001,0,missing,False,,1.0000000000000000,-1.3654646758845983,1.6655148124065986,True,True
33,147,33,I,40,76,154,68,3.6000000000000001,5.0099999999999998,0,missing,False,,1.0000000000000000,1.3899797455974048,7.3749320162707805,True,True
34,147,34,A,80,75,124,89,3.6000000000000001,4.9100000000000001,1,lalt,True,1.7987553800000000,1.0000000000000000,1.3413757368829051,-3.9876279666232719,False,False
35,147,35,I,40,76,154,68,4.6200000000000001,3.7400000000000002,0,lalt,False,0.6528389300000000,1.0000000000000000,7.0286378342274141,-16.8253006960582532,False,False
36,147,36,T,20,76,154,68,3.7999999999999998,5.1200000000000001,1,missing,False,,1.0000000000000000,-1.6148619177885088,2.8845814170398025,True,True
37,147,37,R,40,157,193,131,5.3899999999999997,4.6500000000000004,0,ralt,True,0.7088068199999999,1.0000000000000000,1.6914343575497539,-8.1526490618540421,False,False
38,147,38,T,20,76,154,68,3.9700000000000002,4.3799999999999999,1,missing,False,,1.0000000000000000,-8.2384321373844038,6.2043333823905220,True,True
39,147,39,I,40,138,154,91,5.3700000000000001,3.5499999999999998,1,lalt,True,0.8686891700000000,1.0000000000000000,4.7394311115222125,4.3607486212498072,False,False
